Rank,Team,2025-26,2026-27,2027-28,2028-29
1, Cavaliers,"$232,713,654","$227,344,180","$195,126,428","$100,526,540"
2, Knicks,"$211,707,473","$203,751,948","$183,141,981","$130,531,914"
3, Warriors,"$210,886,013","$187,866,526","$26,049,386",-
4, Mavericks,"$207,665,084","$217,137,415","$166,527,805","$41,973,074"
5, Timberwolves,"$205,993,350","$195,100,023","$179,108,102","$112,210,776"
6, Celtics,"$202,967,228","$172,968,312","$176,353,230","$179,367,810"
7, Rockets,"$199,794,378","$185,010,351","$137,763,517","$76,015,108"
8, 76ers,"$199,138,920","$177,380,676","$166,996,990","$115,459,301"
9, Clippers,"$198,004,457","$134,121,630","$20,998,320",-
10, Lakers,"$196,656,674","$106,503,925","$68,402,002","$59,198,976"
11, Magic,"$195,380,021","$214,441,895","$197,740,143","$182,477,438"
12, Raptors,"$192,900,672","$186,060,935","$146,552,334","$109,924,508"
13, Nuggets,"$192,328,838","$211,396,630","$181,937,668","$119,623,207"
14, Suns,"$190,584,970","$179,816,614","$153,031,246","$92,367,653"
15, Kings,"$190,195,886","$191,247,032","$111,773,816","$27,999,999"
16, Pelicans,"$189,288,961","$187,833,424","$128,022,635","$53,526,964"
17, Thunder,"$188,787,216","$191,766,865","$182,150,837","$186,949,738"
18, Trail Blazers,"$188,367,502","$165,711,326","$141,084,037","$44,276,785"
19, Heat,"$187,961,421","$161,404,234","$73,928,831","$75,340,910"
20, Spurs,"$186,148,997","$151,001,933","$89,668,462","$86,198,976"
21, Pacers,"$185,490,537","$183,382,688","$181,764,693","$76,644,288"
22, Hawks,"$183,885,769","$160,304,645","$87,041,800","$70,919,890"
23, Bucks,"$180,209,194","$176,907,037","$144,265,318","$63,284,379"
24, Hornets,"$177,959,213","$142,803,232","$48,634,082","$46,394,040"
25, Bulls,"$176,185,158","$83,659,945","$51,000,000","$43,000,000"
26, Grizzlies,"$174,371,895","$182,025,858","$111,362,784","$52,000,000"
27, Pistons,"$171,223,680","$105,957,662","$71,494,279","$57,528,684"
28, Wizards,"$159,288,920","$59,169,396","$13,050,000",-
29, Jazz,"$146,079,848","$104,345,933","$49,824,681","$53,536,209"
30, Nets,"$140,522,463","$105,613,858","$36,943,184",-
Rank,Team,2025-26,2026-27,2027-28,2028-29
1, Cavaliers,"$232,713,654","$227,344,180","$195,126,428","$100,526,540"
2, Knicks,"$211,707,473","$203,751,948","$183,141,981","$130,531,914"
3, Warriors,"$210,886,013","$187,866,526","$26,049,386",-
4, Mavericks,"$207,665,084","$217,137,415","$166,527,805","$41,973,074"
5, Timberwolves,"$205,993,350","$195,100,023","$179,108,102","$112,210,776"
6, Celtics,"$202,967,228","$172,968,312","$176,353,230","$179,367,810"
7, Rockets,"$199,794,378","$185,010,351","$137,763,517","$76,015,108"
8, 76ers,"$199,138,920","$177,380,676","$166,996,990","$115,459,301"
9, Clippers,"$198,004,457","$134,121,630","$20,998,320",-
10, Lakers,"$196,656,674","$106,503,925","$68,402,002","$59,198,976"
11, Magic,"$195,380,021","$214,441,895","$197,740,143","$182,477,438"
12, Raptors,"$192,900,672","$186,060,935","$146,552,334","$109,924,508"
13, Nuggets,"$192,328,838","$211,396,630","$181,937,668","$119,623,207"
14, Suns,"$190,584,970","$179,816,614","$153,031,246","$92,367,653"
15, Kings,"$190,195,886","$191,247,032","$111,773,816","$27,999,999"
16, Pelicans,"$189,288,961","$187,833,424","$128,022,635","$53,526,964"
17, Thunder,"$188,787,216","$191,766,865","$182,150,837","$186,949,738"
18, Trail Blazers,"$188,367,502","$165,711,326","$141,084,037","$44,276,785"
19, Heat,"$187,961,421","$161,404,234","$73,928,831","$75,340,910"
20, Spurs,"$186,148,997","$151,001,933","$89,668,462","$86,198,976"
21, Hawks,"$183,885,769","$160,304,645","$87,041,800","$70,919,890"
22, Pacers,"$183,884,886","$183,382,688","$181,764,693","$76,644,288"
23, Bucks,"$180,209,194","$176,907,037","$144,265,318","$63,284,379"
24, Hornets,"$177,959,213","$142,803,232","$48,634,082","$46,394,040"
25, Bulls,"$176,185,158","$83,659,945","$51,000,000","$43,000,000"
26, Grizzlies,"$174,371,895","$182,025,858","$111,362,784","$52,000,000"
27, Pistons,"$171,223,680","$105,957,662","$71,494,279","$57,528,684"
28, Wizards,"$159,288,920","$59,169,396","$13,050,000",-
29, Jazz,"$146,079,848","$104,345,933","$49,824,681","$53,536,209"
30, Nets,"$140,522,463","$105,613,858","$36,943,184",-
